ROUTENAME,Place,Place_KR,Latitude,Longitude
"Private tour guide service in Seoul, Korea",Gyeongbokgung Palace,Gyeongbokgung Palace,,
"Private tour guide service in Seoul, Korea", Insadong, Insadong,,
"Private tour guide service in Seoul, Korea", Namdaemun Market, Namdaemun Market,,
"Private tour guide service in Seoul, Korea", Jogyesa Temple, Jogyesa Temple,,
"Private tour guide service in Seoul, Korea", Cheonggyecheon Stream, Cheonggyecheon Stream,,
"Private tour guide service in Seoul, Korea", Bukchon Hanok Village, Bukchon Hanok Village,,
Cheonggyecheon Night Walk Tour with Korean Young Locals,Cheonggyecheon Stream,Cheonggyecheon Stream,,
Cheonggyecheon Night Walk Tour with Korean Young Locals, Mirae Asset CENTER1, Mirae Asset CENTER1,,
Cheonggyecheon Night Walk Tour with Korean Young Locals, Sewoon Arcade (Makercity Sewoon), Sewoon Arcade (Makercity Sewoon),,
Cheonggyecheon Night Walk Tour with Korean Young Locals, Gwangjang Market, Gwangjang Market,,
Andong Hahoe Village [UNESCO site] Premium Private Tour from Seoul,Andong Hahoe Folk Village,Andong Hahoe Folk Village,,
Andong Hahoe Village [UNESCO site] Premium Private Tour from Seoul, Buyongdae, Buyongdae,,
Andong Hahoe Village [UNESCO site] Premium Private Tour from Seoul, Hahoe Mask Museum, Hahoe Mask Museum,,
Andong Hahoe Village [UNESCO site] Premium Private Tour from Seoul, Byeongsan Seowon, Byeongsan Seowon,,
Alpaca World Tour with Nami Island & optional Railbike or Garden,Alpaca World,Alpaca World,,
Alpaca World Tour with Nami Island & optional Railbike or Garden, Nami Island, Nami Island,,
Alpaca World Tour with Nami Island & optional Railbike or Garden, Gangchon Rail Park, Gangchon Rail Park,,
Alpaca World Tour with Nami Island & optional Railbike or Garden, The Garden of Morning Calm, The Garden of Morning Calm,,
Gwangmyeong and Dodeoksan Park Full Day Tour by Bus,Gwangmyeong Cave,Gwangmyeong Cave,,
Gwangmyeong and Dodeoksan Park Full Day Tour by Bus, Gwangmyeong Traditional Market, Gwangmyeong Traditional Market,,
Gwangmyeong and Dodeoksan Park Full Day Tour by Bus, Dodeoksan Park, Dodeoksan Park,,
Half-Day Jeju Island Private Taxi Tour in O`sulloc and Innisfree,O’sulloc Tea Museum,O’sulloc Tea Museum,,
Half-Day Jeju Island Private Taxi Tour in O`sulloc and Innisfree, Camellia Hill, Camellia Hill,,
Half-Day Jeju Island Private Taxi Tour in O`sulloc and Innisfree, Iho Tewoo Beach, Iho Tewoo Beach,,
Memorable Autumn Foliage Random Tour (From Busan),Busan,Busan,,
Full-day Customizable Private Essential Jeju Island Tour for South course,Mysterious Road (Dokkaebi Road),Mysterious Road (Dokkaebi Road),,
Full-day Customizable Private Essential Jeju Island Tour for South course, Hallasan National Park, Hallasan National Park,,
Full-day Customizable Private Essential Jeju Island Tour for South course, Alive Museum, Alive Museum,,
Full-day Customizable Private Essential Jeju Island Tour for South course, Daepo Haean Jusangjeolli Cliff, Daepo Haean Jusangjeolli Cliff,,
Full-day Customizable Private Essential Jeju Island Tour for South course, Oedolgae, Oedolgae,,
Full-day Customizable Private Essential Jeju Island Tour for South course, Jeongbang Waterfall, Jeongbang Waterfall,,
Full-day Customizable Private Essential Jeju Island Tour for South course, Jusangjeollidae, Jusangjeollidae,,
Full-day Customizable Private Essential Jeju Island Tour for South course, Cheonjiyeon Falls, Cheonjiyeon Falls,,
 Private Full-day Customizable tour with Professional Guide,Gyeongbokgung Palace,Gyeongbokgung Palace,,
 Private Full-day Customizable tour with Professional Guide, N Seoul Tower, N Seoul Tower,,
 Private Full-day Customizable tour with Professional Guide, Seoraksan National Park, Seoraksan National Park,,
Seoul Private Tour with hidden gem of Seoul,Gyeongbokgung Palace,Gyeongbokgung Palace,,
Seoul Private Tour with hidden gem of Seoul, Insadong, Insadong,,
Seoul Private Tour with hidden gem of Seoul, Bukchon Hanok Village, Bukchon Hanok Village,,
Seoul Private Tour with hidden gem of Seoul, Kwangjang Market, Kwangjang Market,,
Seoul Private Tour with hidden gem of Seoul, Myeongdong Shopping Street, Myeongdong Shopping Street,,
Seoul Private Tour with hidden gem of Seoul, N Seoul Tower, N Seoul Tower,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market,Changdeokgung Palace,Changdeokgung Palace,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Gyeongbokgung Palace, Gyeongbokgung Palace,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Cheonggyecheon Stream, Cheonggyecheon Stream,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, The Blue House, The Blue House,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Bukchon Hanok Village, Bukchon Hanok Village,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Jogyesa Temple, Jogyesa Temple,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Insadong, Insadong,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Namsangol Hanok Village, Namsangol Hanok Village,,
Full Day Seoul Royal Palace Tour Including Namdaemun Market, Namdaemun Market, Namdaemun Market,,
Jeonju Hanok Village One Day Tour from Seoul,Jeonju Hanok Village,Jeonju Hanok Village,,
Seoul Afternoon Tour Including Changdeokgung Palace and Namdaemun Market,Changdeokgung Palace,Changdeokgung Palace,,
Seoul Afternoon Tour Including Changdeokgung Palace and Namdaemun Market, Namdaemun Market, Namdaemun Market,,
Seoul Afternoon Tour Including Changdeokgung Palace and Namdaemun Market, Insadong, Insadong,,
Seoul Afternoon Tour Including Changdeokgung Palace and Namdaemun Market, Namsangol Hanok Village, Namsangol Hanok Village,,
Seoul Afternoon Tour Including Changdeokgung Palace and Namdaemun Market, Sungnyemun Gate, Sungnyemun Gate,,
Jeju Outdoor Wedding Photography Package,Core Travel,Core Travel,,
Jeju South 1 Day Package Tour,Mysterious Road (Dokkaebi Road),Mysterious Road (Dokkaebi Road),,
Jeju South 1 Day Package Tour, O’sulloc Tea Museum, O’sulloc Tea Museum,,
Jeju South 1 Day Package Tour, Alive Museum, Alive Museum,,
Jeju South 1 Day Package Tour, Yakchunsa Temple, Yakchunsa Temple,,
Jeju South 1 Day Package Tour, Jeongbang Waterfall, Jeongbang Waterfall,,
Jeju: Fully Customizable Private Tour,Jeju,Jeju,,
Korean Folk Village Half-day Guided Tour from Seoul,Seoul,Seoul,,
Korean Folk Village Half-day Guided Tour from Seoul, Korean Folk Village, Korean Folk Village,,
Korean Folk Village Half-day Guided Tour from Seoul, Seoul, Seoul,,
Magnificent Naejangsan National Park Autumn Foliage Tour from Seoul,Naejangsan National Park,Naejangsan National Park,,
Seoul City Walking Private Tour (3hours),Jogyesa Temple,Jogyesa Temple,,
Seoul City Walking Private Tour (3hours), Gyeongbokgung Palace, Gyeongbokgung Palace,,
Seoul City Walking Private Tour (3hours), Bukchon Hanok Village, Bukchon Hanok Village,,
Seoul City Walking Private Tour (3hours), Insadong, Insadong,,
DMZ & One Additional Course Private Tour,DMZ,DMZ,,
DMZ & One Additional Course Private Tour, The Third Tunnel, The Third Tunnel,,
DMZ & One Additional Course Private Tour, Dora Observatory, Dora Observatory,,
DMZ & One Additional Course Private Tour, Tongilchon-gil, Tongilchon-gil,,
DMZ & One Additional Course Private Tour, Paju, Paju,,
DMZ & One Additional Course Private Tour, DMZ, DMZ,,
DMZ & One Additional Course Private Tour, The Third Tunnel, The Third Tunnel,,
DMZ & One Additional Course Private Tour, Dora Observatory, Dora Observatory,,
DMZ & One Additional Course Private Tour, Tongilchon-gil, Tongilchon-gil,,
DMZ & One Additional Course Private Tour, Paju, Paju,,
Alpaca World and Nami Island with Gangchon Rail Bike Tour,Nami Island,Nami Island,,
Alpaca World and Nami Island with Gangchon Rail Bike Tour, Alpaca World, Alpaca World,,
Alpaca World and Nami Island with Gangchon Rail Bike Tour, Gangchon Rail Park, Gangchon Rail Park,,
Hidden Street Food food tour in Seoul ,Namdaemun Market,Namdaemun Market,,
Hidden Street Food food tour in Seoul , Bukchon Hanok Village, Bukchon Hanok Village,,
Hidden Street Food food tour in Seoul , Chebu-dong, Chebu-dong,,
Small-Group Seoul Morning Royal Palaces Tour,Jogyesa Temple,Jogyesa Temple,,
Small-Group Seoul Morning Royal Palaces Tour, Gyeongbokgung Palace, Gyeongbokgung Palace,,
World Cultural Heritage Full-day tour from Seoul including Suwon Hwaseong,Bukchon Hanok Village,Bukchon Hanok Village,,
World Cultural Heritage Full-day tour from Seoul including Suwon Hwaseong, Changdeokgung Palace, Changdeokgung Palace,,
World Cultural Heritage Full-day tour from Seoul including Suwon Hwaseong, Jongmyo Shrine, Jongmyo Shrine,,
World Cultural Heritage Full-day tour from Seoul including Suwon Hwaseong, Hwaseong Fortress, Hwaseong Fortress,,
World Cultural Heritage Full-day tour from Seoul including Suwon Hwaseong, Hwaseong Haenggung Palace, Hwaseong Haenggung Palace,,
Seoul Myeongdong Catholic Church Historic Private Walking Tour,Myeong-dong Cathedral,Myeong-dong Cathedral,,
Full-Day Seoul Secret City Private Walking Tour,Dongdaemun Design Plaza (DDP),Dongdaemun Design Plaza (DDP),,
Full-Day Seoul Secret City Private Walking Tour, Jangchungdan Park, Jangchungdan Park,,
Full-Day Seoul Secret City Private Walking Tour, Seoul City Wall Museum, Seoul City Wall Museum,,
Full-Day Seoul Secret City Private Walking Tour, Ihwa Mural Village, Ihwa Mural Village,,
Full-Day Seoul Secret City Private Walking Tour, Naksan Park, Naksan Park,,
Neon Nights Photography 1 Hour Walking Tour in Seoul,Coffee Hanyakbang,Coffee Hanyakbang,,
1 day Jeonju City tour by KTX Train from Seoul,Jeonju Hanok Village,Jeonju Hanok Village,,
1 day Jeonju City tour by KTX Train from Seoul, Gyeonggijeon Shrine, Gyeonggijeon Shrine,,
1 day Jeonju City tour by KTX Train from Seoul, Hanji Museum, Hanji Museum,,
1 day Jeonju City tour by KTX Train from Seoul, Geumsansa, Geumsansa,,
1 day Jeonju City tour by KTX Train from Seoul, Jeondong Catholic Church, Jeondong Catholic Church,,
Everland Theme Park & Korean Folk Village tour (private group),Korean Folk Village,Korean Folk Village,,
Everland Theme Park & Korean Folk Village tour (private group), Everland, Everland,,
Odaesan National Park hiking day tour: Explore Autumn foliage Korea ,Odaesan National Park,Odaesan National Park,,
Odaesan National Park hiking day tour: Explore Autumn foliage Korea , Woljeongsa Temple, Woljeongsa Temple,,
Odaesan National Park hiking day tour: Explore Autumn foliage Korea , Sangwonsa Temple, Sangwonsa Temple,,
Odaesan National Park hiking day tour: Explore Autumn foliage Korea , Hongcheon Ginkgo Forest, Hongcheon Ginkgo Forest,,
Jeju island guided tour for 9 hours with a van,Sangumburi Crater,Sangumburi Crater,,
Jeju island guided tour for 9 hours with a van, Seongsan Ilchulbong, Seongsan Ilchulbong,,
Jeju island guided tour for 9 hours with a van, Woljeongri Beach, Woljeongri Beach,,
Jeju island guided tour for 9 hours with a van, Manjanggul Cave, Manjanggul Cave,,
Jeju island guided tour for 9 hours with a van, Jeongbang Waterfall, Jeongbang Waterfall,,
Small group DMZ tour + Seoul Essence {Private and Private-guided-seat-in-coach},Imjingak Pyeonghoa-Nuri Park,Imjingak Pyeonghoa-Nuri Park,,
Small group DMZ tour + Seoul Essence {Private and Private-guided-seat-in-coach}, DMZ, DMZ,,
Small group DMZ tour + Seoul Essence {Private and Private-guided-seat-in-coach}, Insadong, Insadong,,
Small group DMZ tour + Seoul Essence {Private and Private-guided-seat-in-coach}, Jogyesa Temple, Jogyesa Temple,,
Small group DMZ tour + Seoul Essence {Private and Private-guided-seat-in-coach}, Gyeongbokgung Palace, Gyeongbokgung Palace,,
History and Culture Tour,Gyeongbokgung Palace,Gyeongbokgung Palace,,
History and Culture Tour, Bukchon Hanok Village, Bukchon Hanok Village,,
History and Culture Tour, Insadong, Insadong,,
History and Culture Tour, Kwangjang Market, Kwangjang Market,,
History and Culture Tour, N Seoul Tower, N Seoul Tower,,
History and Culture Tour, Myeongdong Shopping Street, Myeongdong Shopping Street,,
Private Guided Hiking Tour along Inwangsan Mountain,Inwangsan Mountain,Inwangsan Mountain,,
Private Guided Hiking Tour along Inwangsan Mountain, Tongin Market, Tongin Market,,
"Essence of Seoul, Full Day City tour",Gyeongbokgung Palace,Gyeongbokgung Palace,,
"Essence of Seoul, Full Day City tour", National Folk Museum of Korea, National Folk Museum of Korea,,
"Essence of Seoul, Full Day City tour", Insadong, Insadong,,
"Essence of Seoul, Full Day City tour", Jogyesa Temple, Jogyesa Temple,,
"Essence of Seoul, Full Day City tour", Bukchon Hanok Village, Bukchon Hanok Village,,
"Essence of Seoul, Full Day City tour", N Seoul Tower, N Seoul Tower,,
"Essence of Seoul, Full Day City tour", Namdaemun Market, Namdaemun Market,,
Full Day Tour Best Spots in East Busan,Haedong Yonggungsa,Haedong Yonggungsa,,
Full Day Tour Best Spots in East Busan, Ahopsan Forest, Ahopsan Forest,,
Full Day Tour Best Spots in East Busan, Gijang Market, Gijang Market,,
Full Day Tour Best Spots in East Busan, Jukseong Dream Cathedral, Jukseong Dream Cathedral,,
Full Day Tour Best Spots in East Busan, Busan Gamcheon Culture Village, Busan Gamcheon Culture Village,,
Full Day Tour Best Spots in East Busan, The Bay 101 Yacht Club, The Bay 101 Yacht Club,,
Modern and Contemporary of Seoul tour,Seoul Museum of History,Seoul Museum of History,,
Modern and Contemporary of Seoul tour, Seoul Battleship Park, Seoul Battleship Park,,
Modern and Contemporary of Seoul tour, Mapo Oil Tank Culture Park, Mapo Oil Tank Culture Park,,
All in One Full day Tour 3(Gyeongbok Palace-N Seoul Tower-Gwang Jang Market),Cosmo. Jin Tour - Day Tours,Cosmo. Jin Tour - Day Tours,,
Private DMZ tour,DMZ,DMZ,,
Private DMZ tour, Odusan Unification Tower, Odusan Unification Tower,,
 West Jeju Full Day Tour Package By Taxi,Hallim Park,Hallim Park,,
 West Jeju Full Day Tour Package By Taxi, O’sulloc Tea Museum, O’sulloc Tea Museum,,
 West Jeju Full Day Tour Package By Taxi, Yongmeori Coast, Yongmeori Coast,,
 West Jeju Full Day Tour Package By Taxi, Sanbangsan Mountain, Sanbangsan Mountain,,
 West Jeju Full Day Tour Package By Taxi, Cheonjiyeon Falls, Cheonjiyeon Falls,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ,Manjanggul Cave,Manjanggul Cave,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, Haenyeo Museum, Haenyeo Museum,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, Gwangchigi Beach, Gwangchigi Beach,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, Hallasan National Park, Hallasan National Park,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, Seongeup Folk Village, Seongeup Folk Village,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, 칠돈가 성산점, 칠돈가 성산점,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, Seongsan Ilchulbong, Seongsan Ilchulbong,,
Full Day Jeju Island Private Tour for East course with Korean Black pork BBQ, Jejudo, Jejudo,,
[DMZ Private Full day Tour] & The War Memorial include Lunch,Imjingak Pyeonghoa-Nuri Park,Imjingak Pyeonghoa-Nuri Park,,
[DMZ Private Full day Tour] & The War Memorial include Lunch, The Third Tunnel, The Third Tunnel,,
[DMZ Private Full day Tour] & The War Memorial include Lunch, Dorasan Station, Dorasan Station,,
[DMZ Private Full day Tour] & The War Memorial include Lunch, Dora Observatory, Dora Observatory,,
[DMZ Private Full day Tour] & The War Memorial include Lunch, The War Memorial of Korea, The War Memorial of Korea,,
"Seoul Private Tours by Locals: 100% Personalized, See the City Unscripted",Bukchon Hanok Village,Bukchon Hanok Village,,
Half-Day Exploring the Beauty of Hidden City of Suwon Guided Tour,Seoul Station / City Hall,Seoul Station / City Hall,,
Half-Day Exploring the Beauty of Hidden City of Suwon Guided Tour, Hwaseong Haenggung Palace, Hwaseong Haenggung Palace,,
Half-Day Exploring the Beauty of Hidden City of Suwon Guided Tour, Janganmun Gate, Janganmun Gate,,
Half-Day Exploring the Beauty of Hidden City of Suwon Guided Tour, Banghwasuryujeong Pavilion (Dongbukgakru), Banghwasuryujeong Pavilion (Dongbukgakru),,
Exclusive Private Tour to Suwon UNESCO Fortress and Korea Folks Village,Hwaseong,Hwaseong,,
Exclusive Private Tour to Suwon UNESCO Fortress and Korea Folks Village, Hwaseong Haenggung Palace, Hwaseong Haenggung Palace,,
Exclusive Private Tour to Suwon UNESCO Fortress and Korea Folks Village, Korean Folk Village, Korean Folk Village,,
Beautiful Jeju Island Private UNESCO day Tour (Jumbo Taxi/Van),Manjanggul Cave,Manjanggul Cave,,
Beautiful Jeju Island Private UNESCO day Tour (Jumbo Taxi/Van), Woljeongri Beach, Woljeongri Beach,,
Beautiful Jeju Island Private UNESCO day Tour (Jumbo Taxi/Van), Seongsan Ilchulbong, Seongsan Ilchulbong,,
Beautiful Jeju Island Private UNESCO day Tour (Jumbo Taxi/Van), Seopjikoji, Seopjikoji,,
Beautiful Jeju Island Private UNESCO day Tour (Jumbo Taxi/Van), Sangumburi Crater, Sangumburi Crater,,
Beautiful Jeju Island Private UNESCO day Tour (Jumbo Taxi/Van), Seongeup Folk Village, Seongeup Folk Village,,
