name,x,y
,127.1165414,36.7933784
,127.1160915,36.7929663
,127.1150693,36.7918012
학화할머니호두과자(천안원조),127.1647353,36.8010424
,127.1218816,36.8000296
,127.1224482,36.7994811
,127.1278589,36.8016349
,127.1286625,36.8015451
,127.1218765,36.7958418
천안중앙시장,127.1491953,36.8023583
글로벌라운지,127.1403021,36.4706156
진영원,127.1401322,36.4706127
교직원식당,127.1402083,36.4700748
,127.1415328,36.4718511
덤&덤,127.1416032,36.4718646
카페콩,127.1417554,36.471866
,127.1405283,36.4689633
PRINCESS,127.140528,36.4687922
,127.1396681,36.4693644
,127.1386365,36.466428
천문대,127.1427809,36.4705961
,127.1445687,36.4708039
,127.141813,36.4693761
롯데리아,127.1408892,36.4730796
투썸플레이스,127.1408869,36.4730099
더참맛수육국밥 공주대점,127.1417076,36.4732299
,127.1437288,36.4727451
,127.1448028,36.4732987
봉구스밥버거,127.1380435,36.4697559
학생식당,127.1402613,36.470281
,127.1407432,36.4689259
,127.1379314,36.4666785
,127.1384515,36.469977
무항생제 치킨더홈,127.1378542,36.4695769
,127.1383946,36.4700968
공주대학교 앞,127.1384044,36.4700812
소문난집 분식점,127.138208,36.4701698
진양독서실,127.1377194,36.4699046
여름이네 분식점,127.1377133,36.4698637
Coffee With,127.1377763,36.4698326
,127.1370318,36.4698367
,127.1367773,36.4697203
,127.1369174,36.4691532
,127.1366185,36.4692396
시골마당,127.1359241,36.4685432
신동동물병원,127.1356415,36.4686118
MG새마을금고,127.1359253,36.4688732
XENIC ARENA(PC방),127.1358389,36.4687793
,127.1408116,36.4701262
,127.140765,36.4701312
Tom N Toms,127.1393304,36.4735702
죽이야기,127.1387583,36.4744225
공주대학교,127.1437278,36.4684931
,127.1424498,36.4703644
,127.141731,36.4701401
,127.1416799,36.4701506
,127.1419698,36.470113
공주대옥룡캠퍼스,127.133506,36.4524238
NH농협은행 공주시청출장소,127.1194369,36.4469911
,127.1377414,36.4676565
스카이라운지,127.1381071,36.467986
,127.1381058,36.4680658
Caffe reve,127.1396615,36.4696444
,127.1412172,36.4717148
,127.1412629,36.4717132
,127.1413097,36.4717091
,127.1413666,36.4717083
,127.1411654,36.4716045
,127.1436717,36.4632903
,127.1390809,36.4661179
,127.1412929,36.4687144
,127.1413539,36.468703
,127.1414129,36.4686932
,127.1414881,36.4686785
,127.1413925,36.4686343
,127.1414556,36.4686229
,127.1413336,36.468649
,127.1412767,36.4686638
,127.1412787,36.4685542
,127.1413641,36.4685428
,127.1403048,36.4681941
,127.1402889,36.4681557
,127.1431213,36.4676337
고향비빔국수,127.1442579,36.4691358
,127.1129355,36.462498
,127.1292118,36.4425349
,127.1244585,36.4554521
공주중앙성결교회,127.1484756,36.4769005
,127.119079,36.4568797
여호와의 증인의 왕국 회관,127.1290905,36.4404957
여호와의 증인의 천안 대회회관,127.1531612,36.7878889
,127.177239,36.5635491
원진 노기순  청국장,127.1228128,36.4656231
백련사,127.112303,36.4517427
,127.1392574,36.4774211
,127.1395954,36.4770958
,127.1307108,36.4849316
나니브레드위드커피,127.135811,36.4694053
공주교도소,127.1417372,36.4846177
공주원로원 아담스하우스,127.1457782,36.4848359
공주원로원 홍복섭하우스,127.1462073,36.4852823
SK-LPG 공주충전소,127.1638478,36.4980966
알뜰공주주유소,127.1635886,36.497693
알뜰공주주유소,127.1682936,36.4975828
SK-LPG 공주주유소,127.167946,36.4972086
,127.1234127,36.4536711
