ROUTENAME,Place,Latitude,Longitude
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour, Gyeongbokgung Palace,37.57975395,126.97668091517912
Enchanting Oedo Island Day Tour from Busan,Dojangpo 1-gil,34.7420988,128.6627553
Enchanting Oedo Island Day Tour from Busan, Oedo,34.76997405,128.71210762818964
Enchanting Oedo Island Day Tour from Busan, Windy Hill,34.743957,128.6632902
Enchanting Oedo Island Day Tour from Busan, Maemiseong,34.9682217,128.7050767
"Day Trip to Petit France, Nami Island and Elysian Ski Resort",Nami Island,37.79172845,127.52514403423976
"Day Trip to Petit France, Nami Island and Elysian Ski Resort", Petite France,37.7147576,127.4908974
"Day Trip to Petit France, Nami Island and Elysian Ski Resort", Elysian Gangchon,,
Shuttle Service to Jisan Ski Resort from Seoul,Jisan Forest Resort,,
Bukhansan Mountain Private Hike with Lunch,Bukhansan National Park,37.6675926,126.98143891697367
Nami Island & Mount Seorak Day trip from Seoul,Seoraksan National Park,38.1340905,128.41721715767403
Nami Island & Mount Seorak Day trip from Seoul, Nami Island,37.79172845,127.52514403423976
Full-Day Ski Package at Jisan Ski Resort from Seoul,Jisan Forest Resort Entrance,,
Full-Day Ski Package at Jisan Ski Resort from Seoul, Gyeonghui Mart,,
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple,Jogyesa Temple,37.5741432,126.98191198171496
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple, Gyeongbokgung Palace,37.57975395,126.97668091517912
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple, Cheongwadae Sarangchae,37.58255895,126.97294013121572
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple, 청하고려인삼,,
Evening Ghost Walking Tour in Seoul,Gyeonghuigung Palace,37.5709397,126.96810238572854
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping),DMZ,38.3072977,127.23023944375083
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), Imjingak Pyeonghoa-Nuri Park,37.89154365,126.74281252151496
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), Mangbaedan,37.8894573,126.7405547
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), Dora Observatory,,
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), The Third Tunnel,,
Full day Seoul City Tour (Private),Gyeongbokgung Palace,37.57975395,126.97668091517912
Full day Seoul City Tour (Private), Bukchon Hanok Village,37.5823919,126.9858648
Full day Seoul City Tour (Private), Gilsangsa Shrine,,
Full day Seoul City Tour (Private), Kwangjang Market,,
Full day Seoul City Tour (Private), Naksan Park,37.58053385,127.00760847527188
